UID2021,UTMX,UTMY,LatinName,CommonName,SpeciesID,PositionSt,lat,long
1,453903.8,4942103.03,Amelanchier laevis*,Serviceberry or Juneberry,16,Check position,44.63080452,-63.58114353
2,453901.07,4942101.71,Rhus typhina,Sumach,106,Good - Ground Truthed,44.63079246,-63.58117782
3,453896.75,4942100.35,Tilia cordata,Basswood,116,Good - Ground Truthed,44.63077994,-63.58123216
4,453892.48,4942098.73,Tilia cordata,Basswood,116,Good - Ground Truthed,44.63076508,-63.58128585
5,453895.1,4942078.11,Amelanchier laevis*,Serviceberry or Juneberry,16,Good - Ground Truthed,44.63057963,-63.58125096
6,453884.38,4942096.56,Malus sp.,Flowering Crab 'White Angel',81,Good - Ground Truthed,44.63074503,-63.58138776
7,453883.08,4942094.06,Malus sp.,Flowering Crab 'White Angel',81,Good - Ground Truthed,44.63072244,-63.58140393
8,453881.58,4942091.04,Malus sp.,Flowering Crab 'White Angel',81,Good - Ground Truthed,44.63069516,-63.58142257
9,453884.2,4942098.34,Quercus rubra,Red Oak,103,Good - Ground Truthed,44.63076104,-63.58139019
10,453877.1,4942094.44,Quercus rubra,Red Oak,103,Good - Ground Truthed,44.63072547,-63.58147935
11,453876.22,4942090.18,Quercus rubra,Red Oak,103,Good - Ground Truthed,44.63068707,-63.58149006
12,453873.53,4942088.36,Tilia cordata,Basswood,116,Good - Ground Truthed,44.63067051,-63.58152381
13,453872.27,4942092.16,Acer rubrum,Red Maple,8,Good - Ground Truthed,44.63070464,-63.58154003
14,453871.14,4942088.42,Quercus rubra,Red Oak,103,Good - Ground Truthed,44.6306709,-63.58155394
15,453869.29,4942086.98,Betula papyrifera,White Birch,22,Good - Ground Truthed,44.63065782,-63.58157713
16,453868.09,4942091.3,Acer rubrum,Red Maple,8,Good - Ground Truthed,44.63069663,-63.58159265
17,453867.25,4942087.22,Acer rubrum,Red Maple,8,Good - Ground Truthed,44.63065985,-63.58160287
18,453866.19,4942084.47,Acer rubrum,Red Maple,8,Good - Ground Truthed,44.63063502,-63.58161599
19,453863.61,4942090.27,Tilia cordata,Basswood,116,Good - Ground Truthed,44.63068707,-63.58164904
20,453863.86,4942093.53,Sorbus aucuparia,Mountain Ash,110,Good - Ground Truthed,44.63071643,-63.58164618
21,453861.06,4942089.3,Sorbus aucuparia,Mountain Ash,110,Good - Ground Truthed,44.63067817,-63.58168109
22,453861.68,4942087.08,Quercus rubra,Red Oak,103,Good - Ground Truthed,44.63065823,-63.58167308
23,453864.2,4942083.29,Quercus rubra,Red Oak,103,Good - Ground Truthed,44.63062427,-63.58164097
24,453857.82,4942083.36,Tilia cordata,Basswood,116,Good - Ground Truthed,44.63062449,-63.58172141
25,453856.35,4942088.33,Tilia cordata,Basswood,116,Good - Ground Truthed,44.63066914,-63.58174038
26,453876.43,4942076.69,Tilia cordata,Basswood,116,Good - Ground Truthed,44.63056565,-63.5814862
27,453875.01,4942073.25,Tilia cordata,Basswood,116,Good - Ground Truthed,44.63053459,-63.58150379
28,453878.45,4942073.86,Tilia cordata,Basswood,116,Good - Ground Truthed,44.6305403,-63.58146048
29,453886.61,4942088.35,Malus sp.,Flowering Crab,77,Good - Ground Truthed,44.63067126,-63.58135891
30,453893.04,4942076.77,Pinus mugo,Mountain Pine,91,Good - Ground Truthed,44.63056743,-63.58127681
31,453892.38,4942068.96,Pinus mugo,Mountain Pine,91,Good - Ground Truthed,44.63049708,-63.58128443
32,453892.96,4942063.03,Pinus mugo,Mountain Pine,91,Good - Ground Truthed,44.63044374,-63.58127659
33,453889.73,4942063.36,Betula papyrifera,White Birch,22,Good - Ground Truthed,44.6304465,-63.58131733
34,453843.36,4942077.15,Acer rubrum,Red Maple,8,Good - Ground Truthed,44.63056766,-63.58190314
35,453846.03,4942077.42,Tilia cordata,Basswood,116,Good - Ground Truthed,44.63057026,-63.5818695
36,453849.78,4942073.96,Pinus mugo,Mountain Pine,91,Good - Ground Truthed,44.63053936,-63.58182192
37,453850.89,4942068.52,Corylus avellana,Corkscrew Hazel,39,Good - Ground Truthed,44.63049046,-63.58180743
38,453852.77,4942071.83,,,0,Need species ID,44.63052038,-63.58178403
39,453855.04,4942070.02,Pinus mugo,Mountain Pine,91,Good - Ground Truthed,44.63050423,-63.58175525
40,453859.21,4942067.2,Fagus sylvatica riversii,Copper Beech,46,Good - Ground Truthed,44.63047911,-63.58170243
41,453855.83,4942066.88,Picea pungens,Blue Spruce,89,Good - Ground Truthed,44.63047601,-63.58174501
42,453854.53,4942068.21,Quercus rubra,Red Oak,103,Good - Ground Truthed,44.6304879,-63.58176152
43,453853.89,4942060.96,Ulmus glabra,Elm,121,Good - Ground Truthed,44.6304226,-63.58176893
44,453857.07,4942060.94,Pinus sylvestris,Scotts Pine,95,Good - Ground Truthed,44.63042262,-63.58172884
45,453861.6,4942059.82,Tilia cordata,Basswood,116,Good - Ground Truthed,44.63041283,-63.58167164
46,453852.27,4942056.93,Pinus sylvestris,Scotts Pine,95,Good - Ground Truthed,44.63038621,-63.58178899
47,453852.52,4942048.43,Betula nigra,Red Birch,20,Good - Ground Truthed,44.63030971,-63.58178508
48,453858.58,4942047.67,Betula papyrifera,White Birch,22,Good - Ground Truthed,44.63030326,-63.58170862
49,453860.63,4942037.04,Pinus nigra,Austrian Pine,92,Good - Ground Truthed,44.6302077,-63.58168182
50,453864,4942036.18,Pinus nigra,Austrian Pine,92,Good - Ground Truthed,44.63020017,-63.58163926
51,453871.62,4942029.53,Tsuga canadensis ?,Eastern Hemlock,118,Good - Ground Truthed,44.6301408,-63.5815426
52,453870.01,4942031.53,Betula papyrifera,White Birch,22,Good - Ground Truthed,44.6301587,-63.58156307
53,453869.09,4942025.37,Pinus strobus,White Pine,94,Good - Ground Truthed,44.63010319,-63.58157412
54,453868.82,4942022.23,Pinus strobus,White Pine,94,Good - Ground Truthed,44.63007491,-63.58157724
55,453869.62,4942020.56,Pinus strobus,White Pine,94,Good - Ground Truthed,44.63005992,-63.581567
56,453874.64,4942019.03,Quercus rubra,Red Oak,103,Good - Ground Truthed,44.63004647,-63.58150358
57,453849.67,4942047.7,Viburnum dentatum,Arrowood Viburnum,123,Good - Ground Truthed,44.63030296,-63.58182094
58,453825.1,4942098.64,Tilia cordata,Basswood,116,Good - Ground Truthed,44.63075994,-63.58213527
59,453815.46,4942103.04,Pinus nigra,Austrian Pine,92,Good - Ground Truthed,44.63079893,-63.58225719
60,453817.19,4942103.74,Betula sp.,Birch,23,Good - Ground Truthed,44.63080535,-63.58223544
61,453816.03,4942125.78,Pinus nigra,Austrian Pine,92,Good - Ground Truthed,44.63100368,-63.58225205
62,453815.1,4942134.89,Stewartia pseudocamellia,Japanese Stewartia,113,Good - Ground Truthed,44.63108563,-63.58226459
63,453817.14,4942143.3,Fraxinus ornus,Manna Ash,49,Good - Ground Truthed,44.63116146,-63.58223963
64,453812.87,4942159.1,Fraxinus ornus,Manna Ash,49,Good - Ground Truthed,44.63130342,-63.58229489
65,453806.88,4942160.38,Magnolia acuminata*,Cucumber Tree,68,Good - Ground Truthed,44.63131456,-63.58237051
66,453800.27,4942170.85,Pinus nigra,Austrian Pine,92,Good - Ground Truthed,44.63140839,-63.58245479
67,453793.48,4942190.78,Magnolia loebrieri,var. Leonard Messel,71,Check position,44.63158736,-63.58254218
68,453849.33,4942138.36,Picea pungens,Blue Spruce,89,Good - Ground Truthed,44.63111906,-63.58183338
69,453850.94,4942141.41,Physocarpus opulifolia,Nine Bark,88,Good - Ground Truthed,44.63114662,-63.58181336
70,453850.67,4942144.73,Malus sp.,Flowering Crab,77,Good - Ground Truthed,44.63117649,-63.58181706
71,453839.26,4942174.2,Picea pungens,Blue Spruce,89,Good - Ground Truthed,44.63144105,-63.58196355
72,453782.48,4942223.97,Acer platanoides,Norway Maple Crimson King,6,Good - Ground Truthed,44.63188543,-63.58268384
73,453777.24,4942223.78,Acer platanoides,Norway Maple Crimson King,6,Good - Ground Truthed,44.63188338,-63.58274989
74,453777.5,4942228.11,Acer platanoides,Norway Maple Crimson King,6,Good - Ground Truthed,44.63192238,-63.582747
75,453800.14,4942221.75,Styrax japonica,Japanese Snowbell,114,Good - Ground Truthed,44.63186658,-63.58246101
76,453806.65,4942221.29,Betula utilis var Jacquemontii,Himalayan Birch,24,Good - Ground Truthed,44.63186286,-63.5823789
77,453813.85,4942224.1,Acer griseum,Paperbark Maple,3,Good - Ground Truthed,44.63188862,-63.58228838
78,453818.16,4942218.18,Euonymus europaeus,Spindle Tree,45,Good - Ground Truthed,44.6318356,-63.58223351
79,453822.76,4942222.23,Populus nigra var. italica,Lombardy Poplar,96,Good - Ground Truthed,44.63187236,-63.58217589
80,453823.55,4942218.83,Populus nigra var. italica,Lombardy Poplar,96,Good - Ground Truthed,44.6318418,-63.58216562
81,453827.08,4942217.72,Syringa reticulata var. Ivory Silk,Ivory Silk or Tree Lilac,115,Good - Ground Truthed,44.63183203,-63.58212102
82,453831.17,4942218.75,Larix laricena,Tamarack,65,Good - Ground Truthed,44.63184157,-63.58206955
83,453826.82,4942220.56,Ilex opaca (female tree),American Holly,55,Good - Ground Truthed,44.63185758,-63.58212455
84,453847.03,4942225.55,Magnolia virginiana,?Henry Hicks?,76,Good - Ground Truthed,44.6319038,-63.58187022
85,453845.96,4942228.22,Celtis occidentalis*,Hackbery,30,Good - Ground Truthed,44.63192777,-63.58188395
86,453844.88,4942231.85,Magnolia grandiflora,?Victoria?,70,Good - Ground Truthed,44.63196038,-63.58189789
87,453843.82,4942234.39,Ostrya virginiana*,Ironwood or Hop-Hornbeam,86,Good - Ground Truthed,44.63198317,-63.58191148
88,453842.05,4942232.35,Ilex opaca (male tree),American Holly,56,Good - Ground Truthed,44.6319647,-63.58193361
89,453833.01,4942258.35,Pyrus calleryana,Callery Pear,101,Good - Ground Truthed,44.63219817,-63.58204992
90,453830.87,4942265.28,Pyrus calleryana,Callery Pear,101,Good - Ground Truthed,44.63226042,-63.58207752
91,453830.86,4942280.9,Ostrya virginiana*,Ironwood or Hop-Hornbeam,86,Good - Ground Truthed,44.63240103,-63.58207905
92,453829.29,4942285.78,Celtis occidentalis*,Hackbery,30,Good - Ground Truthed,44.63244486,-63.58209928
93,453826.03,4942293.41,Betula papyrifera,Paperbark Birch,21,Good - Ground Truthed,44.63251333,-63.58214107
94,453822.95,4942287.55,Pinus strobus,White Pine,94,Good - Ground Truthed,44.63246038,-63.58217937
95,453819.13,4942286.71,Catalpa speciosa,Northern Catalpa,29,Good - Ground Truthed,44.63245257,-63.58222745
96,453814.49,4942284.75,Tsuga canadensis,Eastern Hemlock,117,Good - Ground Truthed,44.63243463,-63.58228577
97,453813.66,4942283.67,Pseudotsuga menzeisii,Douglas Fir,100,Good - Ground Truthed,44.63242486,-63.58229614
98,453811.32,4942291.07,Acer rubrum,Red Maple,8,Good - Ground Truthed,44.63249132,-63.58232631
99,453810.92,4942295.64,Tsuga canadensis,Eastern Hemlock,117,Good - Ground Truthed,44.63253243,-63.58233176
100,453813.02,4942296.49,Pseudotsuga menzeisii,Douglas Fir,100,Good - Ground Truthed,44.63254022,-63.58230536
101,453808.26,4942300.92,Diospyros virginiana,Persimon,44,Good - Ground Truthed,44.63257979,-63.58236577
102,453810.81,4942301.84,Cornus kausa,?satomi? Pink dogwood,36,Good - Ground Truthed,44.63258824,-63.5823337
103,453807.49,4942307.64,Betula papyrifera,Paperbark Birch,21,Good - Ground Truthed,44.63264024,-63.58237608
104,453807.35,4942309.76,Betula sp.,Birch,23,Good - Ground Truthed,44.63265931,-63.58237804
105,453810.53,4942310.86,Ulmus glabra,English Elm,122,Good - Ground Truthed,44.63266942,-63.58233805
106,453804.63,4942312.13,Stewartia pseudocamellia,Japanese Stewartia,113,Good - Ground Truthed,44.63268047,-63.58241254
107,453800.82,4942310.79,Cornus kausa,Chinese Flowering Dogwood,37,Good - Ground Truthed,44.63266817,-63.58246045
108,453790.42,4942311.99,Fraxinus excelsior,Ash,48,Good - Ground Truthed,44.6326783,-63.58259167
109,453786.15,4942311.71,Ulmus glabra,English Elm,122,Good - Ground Truthed,44.63267551,-63.58264548
110,453773.36,4942306.92,Sorbus decora,Showy Mountain Ash,111,Good - Ground Truthed,44.63263156,-63.58280629
111,453762.5,4942303.37,Ulmus glabra,English Elm,122,Good - Ground Truthed,44.63259891,-63.58294288
112,453754.6,4942300.85,Ulmus glabra,English Elm,122,Good - Ground Truthed,44.63257571,-63.58304225
113,453754.86,4942295.63,Acer platanoides,Norway Maple,5,Good - Ground Truthed,44.63252874,-63.5830385
114,453762.43,4942279.23,Juniperus sp.,Juniper,61,Good - Ground Truthed,44.63238159,-63.58294159
115,453765.68,4942274.25,Pinus sp.,Pine,93,Good - Ground Truthed,44.63233697,-63.58290017
116,453768.61,4942254.26,Pinus sp.,Pine,93,Good - Ground Truthed,44.63215721,-63.58286143
117,453776.53,4942244.59,Castanea dentata*,American Chestnut,28,Good - Ground Truthed,44.63207067,-63.58276071
118,453777.28,4942241.93,Cydonia oblongata,Quince,43,Good - Ground Truthed,44.63204677,-63.58275102
119,453779.75,4942241.88,Maackia amurensis,Amur Maakia,67,Good - Ground Truthed,44.63204648,-63.58271987
120,453807.43,4942319.03,Ulmus glabra,English Elm,122,Good - Ground Truthed,44.63274277,-63.58237786
121,453817.18,4942322.04,Acer rubrum,Red Maple,8,Good - Ground Truthed,44.63277049,-63.58225522
122,453826.44,4942325.35,Ulmus glabra,English Elm,122,Good - Ground Truthed,44.63280088,-63.58213877
123,453828.61,4942322.38,Ulmus glabra,English Elm,122,Good - Ground Truthed,44.63277429,-63.58211115
124,453834.67,4942327.11,Ulmus glabra,English Elm,122,Good - Ground Truthed,44.63281726,-63.58203518
125,453842.28,4942329.82,Ulmus glabra,English Elm,122,Good - Ground Truthed,44.63284214,-63.58193948
126,453848.99,4942329.17,Acer rubrum,Red Maple,8,Good - Ground Truthed,44.63283672,-63.58185483
127,453846.95,4942325.87,Gleditsia triacanthos,Sunburst Honey-Locust,52,Good - Ground Truthed,44.63280688,-63.58188025
128,453838.24,4942319.8,Betula papyrifera,Paperbark Birch,21,Good - Ground Truthed,44.63275168,-63.58198951
129,453835.35,4942319.7,Betula papyrifera,Paperbark Birch,21,Good - Ground Truthed,44.63275059,-63.58202594
130,453840.89,4942311.1,Quercus robur,English Oak,102,Good - Ground Truthed,44.63267353,-63.58195532
131,453835.69,4942310.96,Acer platanoides,Norway Maple,5,Good - Ground Truthed,44.63267194,-63.58202086
132,453836.72,4942307.4,Acer platanoides,Norway Maple,5,Good - Ground Truthed,44.63263996,-63.58200756
133,453837.24,4942302.22,Acer platanoides,Norway Maple,5,Good - Ground Truthed,44.63259336,-63.58200054
134,453837.93,4942303.09,Ulmus glabra,English Elm,122,Good - Ground Truthed,44.63260124,-63.58199192
135,453849.82,4942318.23,Acer rubrum,Red Maple,8,Good - Ground Truthed,44.63273829,-63.58184338
136,453850.31,4942314.5,Acer rubrum,Red Maple,8,Good - Ground Truthed,44.63270474,-63.58183687
137,453877.11,4942286.74,Quercus rubra,Red Oak,103,Check position,44.63245657,-63.58149651
138,453869.66,4942299.59,Ulmus glabra,Elm,121,Check position,44.63257177,-63.58159158
139,453865.11,4942314.77,Larix decidua,European Larch,64,Good - Ground Truthed,44.63270813,-63.58165031
140,453861.07,4942332.21,Tilia cordata,Basswood,116,Check position,44.63286486,-63.58170281
141,453866.14,4942336.18,Phellodendron amurense,Amur Cork Tree,87,Good - Ground Truthed,44.63290093,-63.58163925
142,453875.95,4942338.98,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63292676,-63.58151583
143,453889.37,4942343.68,Juglans cinerea,? Butternut,59,Good - Ground Truthed,44.63296993,-63.58134706
144,453940.31,4942361.07,Juglans ailantifolia,Japanese Walnut,58,Good - Ground Truthed,44.63312974,-63.58070642
145,453950.12,4942339.36,Cornus kausa var. chinensis,Chinese Flowering Dogwood,38,Good - Ground Truthed,44.63293494,-63.5805808
146,453955.59,4942331.26,Acer platanoides ?,Norway Maple,7,Good - Ground Truthed,44.63286237,-63.58051111
147,453951.77,4942328.4,Quercus robur,English Oak,102,Good - Ground Truthed,44.63283638,-63.58055902
148,453940.03,4942327.85,Corylus colurna,Turkish Hazel,40,Good - Ground Truthed,44.63283068,-63.58070697
149,453930.16,4942331.95,Salix sp.,Willow,108,Good - Ground Truthed,44.63286695,-63.58083177
150,453913.34,4942322.73,Gleditsia triacanthos,Honey Locust,51,Good - Ground Truthed,44.63278288,-63.58104299
151,453897.37,4942319.42,Cladrastis lutea,Yellow Wood,34,Good - Ground Truthed,44.63275206,-63.58124403
152,453888.61,4942318.2,Acer griseum,Paperbark Maple,3,Good - Ground Truthed,44.63274051,-63.58135436
153,453882.03,4942309.5,Acer rubrum,Red Maple,8,Good - Ground Truthed,44.63266177,-63.58143653
154,453890.38,4942311.21,Acer rubrum,Red Maple,8,Good - Ground Truthed,44.6326777,-63.58133141
155,453898.13,4942309.08,Chamaecyparus sp.,Cypress,33,Good - Ground Truthed,44.63265902,-63.58123352
156,453902.94,4942309.93,Chamaecyparus sp.,Cypress,33,Good - Ground Truthed,44.63266698,-63.58117295
157,453913.93,4942315.01,Chamaecyparus sp.,Cypress,33,Good - Ground Truthed,44.63271342,-63.58103486
158,453917.73,4942316.94,Chamaecyparus sp.,Cypress,33,Good - Ground Truthed,44.63273104,-63.58098713
159,453935.45,4942318.81,Aralia elata,Japanese Angelica Tree,17,Good - Ground Truthed,44.63274901,-63.5807639
160,453938.12,4942309.25,Acer campestris,Hedge Maple,2,Good - Ground Truthed,44.63266312,-63.58072938
161,453940.53,4942300.74,Syringa reticulata var. Ivory Silk,Ivory Silk or Tree Lilac,115,Good - Ground Truthed,44.63258667,-63.58069823
162,453939.77,4942295.66,Tsuga canadensis ?,Eastern Hemlock,118,Good - Ground Truthed,44.63254089,-63.58070736
163,453944.37,4942282.18,Prunus serrulata var kiku-shidare-sa,Weeping Japanese Cherry,98,Good - Ground Truthed,44.63241983,-63.58064816
164,453936.34,4942275.71,Rhus typhina,Staghorn Sumac,105,Good - Ground Truthed,44.63236108,-63.58074881
165,453929.98,4942276.45,Magnolia stellata var Royal Star,Star Magnolia,75,Good - Ground Truthed,44.63236733,-63.58082906
166,453926.8,4942275.04,Malus sp.,Flowering Crab,77,Good - Ground Truthed,44.63235443,-63.58086902
167,453928.69,4942270.46,Morus alba,White Mulberry,84,Good - Ground Truthed,44.63231332,-63.58084478
168,453932.74,4942271.09,Quercus robur,English Oak,102,Good - Ground Truthed,44.63231926,-63.58079378
169,453926.36,4942262.74,Crataegus laevigatus var Pauls Scarl,Pink May or Hawthorn,41,Good - Ground Truthed,44.63224368,-63.58087346
170,453935.98,4942256.41,Metasequoia glyptostroboides,Dawn Cypress or Dawn Redwood,83,Good - Ground Truthed,44.63218731,-63.58075162
171,453939.79,4942263.16,Hibiscus syriacus var. 'Lucy',Rose of Sharon,54,Good - Ground Truthed,44.63224832,-63.58070419
172,453942.63,4942267.91,Juglans nigra*,Black Walnut,60,Good - Ground Truthed,44.63229126,-63.58066881
173,453958.45,4942291.12,Acer platanoides,Norway Maple,5,Good - Ground Truthed,44.63250121,-63.58047146
174,453964.49,4942290.06,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63249206,-63.58039521
175,453961.57,4942284.99,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63244623,-63.58043157
176,453961.36,4942280.89,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63240931,-63.58043385
177,453957.04,4942266.09,Ulmus glabra,Elm,121,Good - Ground Truthed,44.6322758,-63.58048698
178,453953.65,4942260.56,Ulmus glabra,Elm,121,Good - Ground Truthed,44.6322258,-63.58052923
179,453954.5,4942241.47,Gymnocladus diocus*,Kentucky Coffee Tree,53,Good - Ground Truthed,44.63205401,-63.5805168
180,453944.43,4942246.62,Malus sp.,Weeping Crab Apple,82,Good - Ground Truthed,44.63209972,-63.58064421
181,453937.65,4942247.28,Fraxinus excelsior,Ash,48,Good - Ground Truthed,44.63210523,-63.58072974
182,453930.66,4942240.09,Sorbus intermedia,Swedish Whitebeam,112,Good - Ground Truthed,44.63204006,-63.58081722
183,453938.77,4942235.33,Crataegus monogyna,Hawthorn,42,Good - Ground Truthed,44.63199773,-63.58071455
184,453941.3,4942226.79,Crataegus monogyna,Hawthorn,42,Good - Ground Truthed,44.63192101,-63.58068189
185,453932.35,4942229.51,Cerciiphyllum japonicum,Katsura Tree,31,Good - Ground Truthed,44.63194493,-63.58079496
186,453921.8,4942229.69,Fraxinus excelsior,Ash,48,Good - Ground Truthed,44.63194587,-63.58092798
187,453921.6,4942220.18,Gleditsia triacanthos,Honey Locust,51,Good - Ground Truthed,44.63186025,-63.58092965
188,453914.94,4942241.08,Gleditsia triacanthos,Honey Locust,51,Good - Ground Truthed,44.63204796,-63.58101549
189,453934.16,4942221.84,Malus sp.,Flowering Crab 'Makamik',78,Good - Ground Truthed,44.631876,-63.58077146
190,453942.53,4942220.92,Acer platanoides,Norway Maple,5,Good - Ground Truthed,44.63186825,-63.58066586
191,453943.14,4942218.88,Crataegus monogyna,Hawthorn,42,Good - Ground Truthed,44.63184993,-63.58065798
192,453944.07,4942216.77,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63183099,-63.58064607
193,453942.77,4942213.51,Celtis occidentalis*,Hackbery,30,Good - Ground Truthed,44.63180156,-63.58066217
194,453937.81,4942208.23,Prunus Padus,European Pin Cherry or Mayday Tree,97,Good - Ground Truthed,44.63175371,-63.58072422
195,453935.97,4942215.39,Betula alleghaniensis*,Yellow Birch,19,Good - Ground Truthed,44.63181805,-63.58074806
196,453927.56,4942206.93,Magnolia sp.,var. Wades Memory,74,Good - Ground Truthed,44.63174135,-63.58085332
197,453925.09,4942205.19,Betula papyrifera,White Birch,22,Good - Ground Truthed,44.63172553,-63.58088431
198,453928.29,4942202.85,Sambucus canadensis*,Canadian Elder,109,Good - Ground Truthed,44.63170467,-63.58084375
199,453926.27,4942197.24,Sorbus aucuparia,Mountain Ash,110,Good - Ground Truthed,44.63165404,-63.58086872
200,453921.18,4942161.15,Ostrya virginiana*,Ironwood or Hop-Hornbeam,86,Check position,44.63132883,-63.58092964
201,453912.18,4942158.36,Magnolia stellata var Royal Star,Star Magnolia,75,Good - Ground Truthed,44.63130314,-63.58104285
202,453914.26,4942135.2,Cercis canadensis*,Redbud or Judas Tree,32,Check position,44.63109478,-63.58101455
203,453913.96,4942131.55,Chamaecyparus sp.,Cypress,33,Check position,44.63106191,-63.581018
204,453919.1,4942134.31,Chamaecyparus sp.,Cypress,33,Check position,44.63108708,-63.58095345
205,453922.27,4942134.58,Chamaecyparus sp.,Cypress,33,Check position,44.63108971,-63.58091352
206,453929.58,4942141.23,Magnolia brooklynensis,var. Yellow Bird,69,Good - Ground Truthed,44.63115005,-63.58082196
207,453921.05,4942115.92,Malus sp.,Flowering Crab 'Profusion',79,Check position,44.63092166,-63.58092722
208,453946.07,4942191.84,Fraxinus excelsior,Ash,48,Good - Ground Truthed,44.6316067,-63.58061862
209,453940.39,4942192.37,Acer saccharum,Sugar Maple,10,Good - Ground Truthed,44.6316111,-63.58069027
210,453944.69,4942202.06,Crataegus monogyna,Hawthorn,42,Good - Ground Truthed,44.63169861,-63.58063693
211,453956.08,4942203.83,Fraxinus excelsior,Ash,48,Good - Ground Truthed,44.63171527,-63.5804935
212,453950.09,4942213.52,Juglans nigra*,Black Walnut,60,Good - Ground Truthed,44.63180212,-63.58056988
213,453959.29,4942218.67,Magnolia sieboldii,Siebolds Magnolia,72,Good - Ground Truthed,44.63184907,-63.58045436
214,453967.08,4942222.58,Carya lacinosa*,Shellbark Hickory,26,Good - Ground Truthed,44.63188477,-63.58035651
215,453969.18,4942217.73,Quercus robur,English Oak,102,Good - Ground Truthed,44.63184124,-63.5803296
216,453972.65,4942216.15,Quercus robur,English Oak,102,Good - Ground Truthed,44.63182724,-63.58028571
217,453979.98,4942221.69,Carya ovata*,Shagbark Hickory,27,Good - Ground Truthed,44.63187758,-63.5801938
218,453987.52,4942225.58,Magnolia soulangeana,Saucer Magnolia,73,Good - Ground Truthed,44.63191308,-63.58009909
219,453974.68,4942227.72,Fraxinus excelsior,Ash,48,Good - Ground Truthed,44.63193152,-63.58026116
220,453972.74,4942233.73,Ginko biloba,Maidenhair Tree,50,Good - Ground Truthed,44.6319855,-63.58028615
221,453977.72,4942239.76,Fraxinus excelsior,Ash,48,Good - Ground Truthed,44.6320401,-63.58022391
222,453994.71,4942224.87,Acer pensylvanicum*,Striped/Snake-Bark Maple,4,Good - Ground Truthed,44.63190715,-63.58000839
223,453997.19,4942232.26,Fraxinus excelsior,Ash,48,Good - Ground Truthed,44.63197383,-63.57997779
224,454003.13,4942231.93,Asimina trilobata*,Pawpaw,18,Good - Ground Truthed,44.63197124,-63.57990287
225,454005.83,4942232.89,Cornus alternifolia*,Alternate-leaved Dogwood,35,Good - Ground Truthed,44.63198006,-63.57986892
226,454008.41,4942233.8,Magnolia brooklynensis,var. Yellow Bird,69,Good - Ground Truthed,44.63198842,-63.57983648
227,453964.82,4942205.83,Fraxinus excelsior,Ash,48,Good - Ground Truthed,44.63173384,-63.5803835
228,453964.96,4942205.97,Crataegus monogyna,Hawthorn,42,Good - Ground Truthed,44.63173511,-63.58038174
